"country","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2022","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2021","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2020","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2019","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2022","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2021","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2020","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2019"
"Slovenia",50.5855155231346,107,44.94934918073897,95,191.20822671017208,402,43.98,93,22.2198058839937,47,21.764948024357814,46,19.50133655501755,41,24.85,53
"Latvia",66.98350929794904,126,63.11022014329732,119,57.33462380070696,109,54.48,104,29.23883342370791,55,29.168589141860107,55,27.352297592997814,52,26.35,51
"North Macedonia",56.51467479608527,104,58.343372354965396,108,53.95241503830088,101,48.41,102,36.951902751286525,68,40.516230802059304,75,41.13203918761552,77,36.56,77
"Bahrain",56.08232363413457,86,60.59556786703601,91,53.94179680125145,80,53.07,79,42.38780274672962,65,42.61666311527807,64,44.50198236103245,66,46.36,69
"Trinidad and Tobago",46.125461254612546,69,51.757051057994786,77,66.17061214568338,98,52.53,80,37.43515696026526,56,38.31366117280133,57,38.48698869697911,57,36.99,56
"Timor-Leste",35.05440736142555,48,32.589212970506765,44,27.902416952603595,37,27.82,36,13.14540276053458,18,11.850622898366094,16,11.311790656460918,15,11.74,15
"Estonia",86.6608892740484,117,77.3418434390839,103,66.1818345905375,88,55.52,74,19.998666755549632,27,18.772292096865026,25,19.553723856295168,26,20.14,27
"Cyprus",65.34622231235495,87,63.76631165025697,84,56.05682472643502,73,54.89,67,17.275438082576592,23,16.700700670305395,22,16.893837588788635,22,17.33,21
"Mauritius",43.88267652982063,56,42.20002813335209,54,44.41950717725721,57,45.7,59,31.344768949871877,40,32.0407621012488,41,31.950873583641155,41,32.7,42
"Eswatini",52.505496669182556,64,47.24057053348693,57,51.98158845673371,62,45.83,54,21.33035802185541,26,20.719548479599535,25,20.960317926102302,25,26.06,30
"Djibouti",38.69492568815408,44,47.26867335562988,53,44.33626797202291,49,44.01,47,34.29777504177293,39,34.78260869565217,39,35.288050018548844,39,39.21,42
"Fiji",137.04262025489925,126,145.08389230629936,133,153.0116518372874,140,127.63,117,30.45391561219984,28,29.453120994511902,27,31.69527073772382,29,29.21,27
"Comoros",32.36680460519691,27,20.777976322884864,17,21.19270023673493,17,28.72,23,11.98770540933219,10,11.000105112115516,9,13.712923682593187,11,20.81,16
"Guyana",68.15661904222911,56,66.21850635575035,54,45.821511589746386,37,47.49,38,27.992897106629812,23,26.977909996787176,22,26.00680387526146,21,25.02,20
"Solomon Islands",17.92422151265066,14,18.358464760271232,14,115.51407794245249,86,20.68,14,14.083316902796946,11,13.113189114479452,10,13.43186952819215,10,12.16,8
"Bhutan",14.08605813188136,11,15.475045200027854,12,12.986911790297738,10,14.62,11,12.805507392619418,10,14.185458100025535,11,11.688220611267964,9,13.7,11
"Macau",93.70261629062577,66,95.0458091998583,66,93.69505480428712,64,95.35,63,14.197366104640267,10,15.840968199976384,11,17.567822775803837,12,18.01,12
"Luxembourg",165.31126734046316,108,162.43045945954387,104,156.99408655607306,99,154.83,96,10.714619179474463,7,10.93281938670007,7,11.100591978712236,7,11.38,7
"Montenegro",113.88632192734703,70,115.92263654444557,70,111.85406334558793,68,117.69,74,19.523369473259493,12,21.528489643968463,13,21.3838650513624,13,20.29,13
"Suriname",123.56297860595286,77,100.34051037715085,62,60.42621713916158,37,60.39,36,38.51313618886842,24,38.84148788792936,24,37.562243086505845,23,39.32,24
"Malta",77.6232885011511,41,85.81628449814637,45,73.32976976382025,38,89.08,45,41.651520659154244,22,40.04759943246831,21,40.52434644842698,21,42.12,21
"Maldives",34.344197547824294,18,32.935906725512154,17,29.873456040213657,15,33.13,17,20.988120723670402,11,23.24887533565564,12,23.898764832170926,12,25.44,13
"Cape Verde",32.70859909070094,17,32.90435092296705,17,23.315503449723032,12,23.36,13,21.16438764692414,11,21.29105059721397,11,15.543668966482022,8,15.72,9
"Belize",39.72855465035148,16,40.470878673364595,16,40.940401011227905,16,42.48,17,34.76248531905754,14,32.88258892210873,13,35.82285088482441,14,37.27,15
"Bahamas",65.40255271194201,26,47.93464741543949,19,50.522529258859755,20,53.5,22,25.15482796613154,10,27.751637977359707,11,30.313517555315855,12,29.63,12
"Iceland",99.90640347463955,38,88.55637015489314,33,84.55760009164953,31,78.54,28,23.662042928204105,9,26.83526368330095,10,27.276645190854687,10,30.63,11
"Vanuatu",15.972093558135226,5,16.34692089398041,5,13.384282836664903,4,14.65,4,12.777674846508182,4,13.077536715184326,4,13.384282836664903,4,11.14,3
"New Caledonia",48.759590837376315,14,45.5798102477438,13,42.22735206350994,12,41.67,12,24.379795418688158,7,24.542974748785124,7,24.632622037047465,7,25.62,7
"Barbados",67.299995041053,19,70.88503510581364,20,60.348316281975734,17,63.12,18,49.58947003024957,14,49.619524574069544,14,49.698613408685894,14,55.83,16
"French Polynesia",46.36597735913659,13,46.46308686452793,13,42.97855728146299,12,36.47,11,21.399681858063044,6,21.444501629782124,6,21.489278640731495,6,19.7,6
"Sao Tome and Principe",35.35052252491107,8,40.54766377877195,9,36.79260468645802,8,34.18,7,17.675261262455535,4,18.021183901676423,4,13.797226757421758,3,14,3
"Samoa",41.809710072888265,9,46.77727933987904,10,33.0275921941645,7,42.32,9,32.5186633900242,7,28.066367603927418,6,28.30936473785528,6,31.63,7
"Saint Lucia",89.49496870472814,16,61.617055600990355,11,16.830294530154276,3,58.14,10,33.560613264273044,6,28.007752545904708,5,33.66058906030855,6,40.37,7
"Kiribati",45.9879358315002,6,46.73734391674521,6,47.58166202745462,6,46.15,6,38.32327985958351,5,38.947786597287674,5,39.65138502287885,5,42.7,5
"Seychelles",31.866923726518063,4,40.65470334262971,5,1064.0862574922478,128,51.99,5,23.900192794888547,3,24.392822005577827,3,24.939521659974563,3,27.52,3
"Grenada",51.32021246567961,6,34.279446044151925,4,51.572532469206905,6,44.26,5,34.213474977119745,4,34.279446044151925,4,25.786266234603453,3,27.19,3
"Micronesia",53.51695595554525,6,53.751881315846056,6,54.09499080385156,6,43.7,5,17.838985318515082,2,17.917293771948685,2,27.04749540192578,3,21.14,2
"Saint Vincent and the Grenadines",58.797013111733925,6,68.06623817349112,7,96.59409230531462,10,67.1,7,29.398506555866962,3,29.171244931496194,3,28.97822769159438,3,26.45,3
"Antigua and Barbuda",43.08487720809996,4,43.313950340555934,4,54.43895215904884,5,50.69,5,21.54243860404998,2,21.656975170277967,2,21.77558086361954,2,20.27,2
"Dominica",59.856941908837875,4,59.5220380345823,4,88.79286105397127,6,65.85,5,29.928470954418938,2,29.76101901729115,2,44.39643052698563,3,38.67,3
"Saint Kitts and Nevis",85.636601083303,4,85.53771143853047,4,3413.6974610625134,160,81.64,4,42.8183005416515,2,42.76885571926523,2,42.67121826328142,2,39.29,2
"Nauru",84.73858147614608,1,85.40438978563499,1,85.8885167053165,1,107.8,1,84.73858147614608,1,,,,,40.11,
