"country","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2022","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2021","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2020","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2019","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2022","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2021","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2020","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2019"
"Algeria",31.02639992611715,1411,32.304836118862134,1446,31.424477942695738,1384,31.44,1343,27.50816889268076,1251,28.730303768227323,1286,28.359229010424116,1249,28.46,1216
"Iraq",20.149487413377628,888,19.990155834989505,861,19.58847580289007,825,23.27,830,18.35690914124155,809,18.132766210367947,781,17.332833134678488,730,19.7,702
"Argentina",37.98898429568423,1725,37.980857294818406,1721,47.39776951672862,2142,46.5,2081,30.787594229198003,1398,35.33256974375611,1601,41.42326075411577,1872,38.1,1705
"Afghanistan",8.551263221189389,347,13.149868501314986,526,15.69018915252502,613,15.92,601,8.354115942314706,339,12.799872001279988,512,15.127082853413192,591,15.32,579
"Yemen",22.39495171742594,856,21.243827443040153,789,27.23129163218938,984,28.49,899,21.165322359109332,809,17.90512705908961,665,23.024831949168256,832,26.95,850
"Canada",49.56042172724767,1924,49.74762118993814,1913,50.246385430120064,1918,50.3,1887,35.62477299832824,1383,35.62689024057252,1370,36.78098286959779,1404,36.78,1380
"Poland",52.3371984879786,2009,46.10899493431966,1754,44.71981347095963,1707,43.48,1674,48.116876857788185,1847,43.11217314269341,1640,42.912158444892725,1638,42.41,1633
"Morocco",33.03053114058469,1233,32.607754421665625,1205,34.71443956680753,1270,34.35,1247,31.71788229558173,1184,31.227675188881435,1154,33.51173457394176,1226,33.55,1218
"Angola",16.248070716991723,579,17.809361642978768,615,19.042722062951594,637,22.1,715,8.081941911042515,288,10.251242311568268,354,10.881555464543768,364,12.29,397
"Ukraine",63.022548771218645,2587,62.39474836676554,2764,62.86929274843331,2809,64.25,2840,27.82054530217692,1142,35.55417101217646,1575,33.728737690241715,1507,32.21,1424
"Uzbekistan",25.501588482784282,891,20.821348160391548,713,20.633351594693092,693,19.91,656,23.498096682790006,821,18.952391242768744,649,19.353071481313865,650,19.51,643
"Malaysia",40.725742531452205,1413,42.64578909294565,1462,42.933525329304565,1455,44.2,1450,38.045279647216496,1320,40.83728093715726,1400,41.63519191728436,1411,42.81,1404
"Mozambique",9.125372823537337,298,9.429856376033657,299,10.687474215250278,329,10.99,333,8.390443468621578,274,8.956786658172437,284,10.330142250606652,318,10.74,325
"Ghana",12.820822221954074,425,14.053452321279757,457,13.73566066018979,438,16.77,529,11.67448988210877,387,11.962347818332221,389,11.822703353633678,377,14.47,456
